	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WOW\S09_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WOW\S09_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WOW\S09_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WOW\S09_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WOW\S09_WOW-A-R_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	156.244003	155.339722	155.397339	155.149994	155.976990
2	156.769104	155.864944	155.875351	155.576004	156.473892
3	157.264389	156.396835	156.404053	156.021545	156.944000
4	157.700363	156.891068	156.932327	156.449509	157.351807
5	158.063370	157.322830	157.412750	156.835495	157.677505
6	158.348419	157.683594	157.809494	157.163269	157.917007
7	158.548340	157.971664	158.102493	157.416855	158.075302
8	158.649734	158.182709	158.283493	157.577377	158.156448
9	158.639389	158.304916	158.350998	157.629074	158.156876
10	158.517960	158.324615	158.312454	157.572693	158.069656
11	158.310242	158.240219	158.189728	157.432739	157.898102
12	158.056396	158.071747	158.013809	157.243790	157.659439
13	157.788574	157.852234	157.806686	157.028030	157.374741
14	157.518372	157.606598	157.574280	156.789810	157.060867
15	157.243698	157.342712	157.314987	156.525620	156.730865
16	156.962143	157.058914	157.029419	156.235077	156.397018
17	156.679611	156.754944	156.724869	155.927780	156.072876
18	156.408829	156.439178	156.414047	155.621201	155.772491
19	156.161911	156.126984	156.111023	155.332809	155.506607
20	155.945206	155.833725	155.827637	155.073349	155.279770
21	155.759033	155.569794	155.572083	154.844345	155.089493
22	155.600021	155.341202	155.348618	154.640381	154.928375
23	155.463486	155.149399	155.157089	154.453445	154.787384
24	155.344223	154.990707	154.992661	154.275604	154.656799
25	155.236557	154.858246	154.847015	154.099762	154.526840
26	155.133194	154.742859	154.710190	153.920944	154.388931
27	155.024567	154.633392	154.573135	153.736740	154.237457
28	154.900497	154.519470	154.429962	153.545380	154.071869
29	154.754471	154.391678	154.277847	153.345291	153.894547
30	154.585266	154.241119	154.115570	153.137360	153.708710
31	154.397018	154.062943	153.941147	152.923676	153.517258
32	154.196838	153.858734	153.750992	152.707367	153.321991
33	153.990524	153.634857	153.542923	152.494598	153.123978
34	153.780777	153.398682	153.317993	152.294235	152.924561
35	153.568405	153.157089	153.082214	152.114365	152.726624
36	153.354156	152.916397	152.845596	151.961105	152.535568
37	153.139481	152.682037	152.618668	151.837234	152.357986
38	152.926956	152.458145	152.408966	151.741791	152.199203
39	152.720215	152.248322	152.221619	151.670364	152.061829
40	152.525177	152.056427	152.058868	151.616318	151.945389
41	152.349396	151.887177	151.920441	151.573563	151.847000
42	152.199814	151.746506	151.804321	151.539413	151.763626
43	152.080490	151.639297	151.707947	151.515045	151.694717
44	151.991699	151.565659	151.629669	151.502106	151.642670
45	151.929565	151.521317	151.569702	151.500046	151.609970
46	151.888123	151.499100	151.529251	151.506454	151.596680
47	151.861710	151.492569	151.507980	151.518234	151.600677
48	151.845688	151.498489	151.502609	151.533157	151.618973
49	151.836914	151.515778	151.507690	151.550812	151.648117
50	151.834244	151.545609	151.519241	151.572906	151.684677
51	151.838257	151.589676	151.535599	151.601501	151.724625
52	151.851013	151.648636	151.557449	151.636429	151.763000
53	151.874130	151.719772	151.586670	151.674652	151.794617
54	151.906418	151.795441	151.625366	151.709778	151.815552
55	151.942856	151.865616	151.673065	151.732590	151.825760
56	151.977448	151.921967	151.725769	151.737488	151.828659
57	152.004074	151.957932	151.779816	151.724304	151.829605
58	152.013687	151.967270	151.832520	151.691605	151.831604
59	151.992096	151.941162	151.876740	151.630432	151.829285
60	151.922516	151.866989	151.897186	151.529984	151.813919
61	151.796753	151.740417	151.875336	151.390854	151.780106
62	151.627289	151.578369	151.797882	151.232086	151.725067
63	151.441498	151.408127	151.662704	151.079926	151.649246
64	151.263062	151.247986	151.486023	150.950577	151.555618
65	151.104187	151.103729	151.296844	150.844620	151.445740
66	150.967300	150.975571	151.117630	150.751266	151.323044
67	150.848068	150.860718	150.957397	150.658463	151.195053
68	150.740295	150.754059	150.816162	150.559784	151.069351
69	150.637650	150.648804	150.689056	150.453476	150.949753
70	150.533386	150.539505	150.569626	150.339020	150.836166
71	150.422379	150.423767	150.451965	150.216583	150.725189
72	150.303162	150.301407	150.332382	150.087814	150.611938
73	150.177002	150.174118	150.209534	149.955490	150.493546
74	150.047211	150.044586	150.083450	149.821793	150.369705
75	149.917175	149.915207	149.955399	149.688812	150.242310
76	149.790054	149.787949	149.827713	149.558319	150.113541
77	149.667908	149.664703	149.702560	149.432495	149.984482
78	149.551727	149.546463	149.581497	149.313675	149.855179
79	149.441483	149.433777	149.465286	149.203598	149.725616
80	149.337067	149.328766	149.355103	149.103775	149.596695
81	149.239700	149.234329	149.252914	149.015442	149.471390
82	149.151184	149.152237	149.161407	148.939758	149.354477
83	149.073288	149.081787	149.082504	148.877426	149.250534
84	149.007416	149.021652	149.017258	148.828934	149.162033
85	148.954468	148.971298	148.965775	148.793472	149.089783
86	148.916031	148.931244	148.927811	148.768768	149.033524
87	148.893600	148.903152	148.904022	148.751801	148.992889
88	148.888657	148.887909	148.895142	148.739059	148.967453
89	148.901352	148.885147	148.901550	148.727829	148.957535
90	148.930008	148.893921	148.923737	148.717697	148.963409
91	148.971405	148.913940	148.962219	148.711319	148.984009
92	149.022110	148.945129	149.017273	148.714478	149.017792
93	149.080093	148.988678	149.088654	148.732437	149.063522
94	149.144775	149.045975	149.175369	148.766800	149.121124
95	149.216537	149.118240	149.276581	148.817459	149.190948
96	149.297256	149.207672	149.391907	148.883499	149.273453
97	149.389969	149.316620	149.521133	148.962677	149.369217
98	149.497055	149.443909	149.662933	149.051483	149.478378
99	149.620193	149.586288	149.815689	149.146866	149.600967
100	149.758392	149.740448	149.977753	149.248062	149.737183
101	149.908264	149.904449	150.148117	149.356964	149.885757
