	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
82	-2.843532	-1.921059	-1.864463	-2.217706	-3.590184
83	-2.595719	-1.703668	-1.650931	-2.013238	-3.375556
84	-2.339591	-1.471699	-1.422679	-1.791521	-3.143274
85	-2.075363	-1.226996	-1.178975	-1.553936	-2.896025
86	-1.803580	-0.971654	-0.918983	-1.301944	-2.635822
87	-1.525173	-0.708073	-0.642369	-1.037338	-2.364037
88	-1.241810	-0.438680	-0.349769	-0.762348	-2.081897
89	-0.955091	-0.165155	-0.043002	-0.479263	-1.790100
90	-0.664744	0.112548	0.275484	-0.189203	-1.488960
91	-0.368315	0.396721	0.603429	0.108541	-1.178652
92	-0.061979	0.691432	0.939301	0.416252	-0.858854
93	0.258351	1.000798	1.282555	0.736733	-0.528033
94	0.595887	1.327058	1.633274	1.071639	-0.183446
95	0.950935	1.669423	1.991940	1.420386	0.178852
96	1.319654	2.023289	2.359373	1.780170	0.561552
97	1.694088	2.381698	2.735619	2.145505	0.964688
98	2.064571	2.737144	3.118022	2.508676	1.385881
99	2.423542	3.082847	3.499303	2.860703	1.820050
100	2.765939	3.411822	3.867771	3.192921	2.257138
101	3.086429	3.715834	4.209383	3.497645	2.680233
