	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	Y	Y	Y	Y	Y	X	X	X	X	X
39	-1.896877	2.479819	4.469656	-1.995283	2.896904	131.07300	136.29744	134.79332	134.74280	135.16476
40	-1.888184	2.284482	4.107542	-1.993117	2.852869	130.92923	135.94586	134.38469	134.47876	134.94330
41	-1.871098	2.079736	3.720131	-2.000899	2.797689	130.79662	135.58406	133.95885	134.21429	134.71092
42	-1.851711	1.876701	3.323897	-2.013797	2.735305	130.67542	135.21829	133.52577	133.95126	134.46803
43	-1.835261	1.688063	2.937526	-2.027437	2.672197	130.56233	134.85428	133.09520	133.69072	134.21494
44	-1.827241	1.525337	2.578606	-2.037810	2.613105	130.45061	134.49702	132.67520	133.43333	133.95105
45	-1.834336	1.396912	2.259068	-2.042773	2.558689	130.33185	134.15056	132.27164	133.17953	133.67513
46	-1.861608	1.307708	1.982708	-2.045998	2.504775	130.19873	133.81635	131.88802	132.92918	133.38539
47	-1.908847	1.257220	1.748080	-2.055287	2.444841	130.04605	133.49324	131.52344	132.68178	133.07909
48	-1.970665	1.238798	1.552536	-2.076704	2.374868	129.86877	133.17947	131.17165	132.43538	132.75142
49	-2.038402	1.241878	1.393544	-2.111469	2.295764	129.66217	132.87457	130.82306	132.18385	132.39508
50	-2.102667	1.255189	1.267896	-2.156864	2.209849	129.42807	132.57707	130.46986	131.91838	132.00024
51	-2.156327	1.270637	1.171010	-2.208885	2.115353	129.18016	132.27946	130.11168	131.63509	131.55637
52	-2.195342	1.283139	1.097180	-2.263231	2.007999	128.93820	131.97021	129.75723	131.33521	131.05728
53	-2.218736	1.284778	1.040464	-2.315964	1.886502	128.71713	131.64426	129.42105	131.01750	130.51033
54	-2.228049	1.264687	0.995227	-2.365694	1.753611	128.52866	131.30766	129.12129	130.68243	129.95676
55	-2.226022	1.214241	0.956202	-2.413618	1.614187	128.38959	130.97227	128.87857	130.35121	129.47600
56	-2.216682	1.128628	0.918519	-2.460536	1.475383	128.31146	130.65227	128.70432	130.06334	129.13487
57	-2.205679	1.006551	0.878127	-2.505463	1.346751	128.28177	130.36058	128.58348	129.84288	128.94066
58	-2.199241	0.850616	0.832330	-2.546694	1.237315	128.26898	130.10567	128.48337	129.67624	128.85307
59	-2.202751	0.667446	0.780285	-2.582618	1.153097	128.24561	129.89346	128.37805	129.53079	128.82039
60	-2.218827	0.466592	0.723628	-2.611768	1.097051	128.20068	129.72195	128.25960	129.38371	128.80263
61	-2.246188	0.258561	0.665940	-2.632152	1.069184	128.13689	129.57426	128.13330	129.23120	128.77522
62	-2.279183	0.052828	0.611860	-2.640738	1.065197	128.06313	129.42868	128.00859	129.08159	128.72714
63	-2.307920	-0.143218	0.565909	-2.634241	1.081197	127.98857	129.27661	127.89361	128.94557	128.65855
64	-2.319194	-0.325042	0.531258	-2.610557	1.110715	127.91997	129.12268	127.79242	128.83162	128.57590
65	-2.298287	-0.491028	0.509124	-2.569324	1.145404	127.86063	128.97278	127.70683	128.74275	128.48648
66	-2.231854	-0.640967	0.499824	-2.510394	1.175794	127.81181	128.83034	127.63771	128.67664	128.39578
67	-2.112231	-0.773867	0.504221	-2.432249	1.192517	127.77454	128.69701	127.58654	128.62993	128.30754
68	-1.941445	-0.885413	0.524801	-2.332306	1.188196	127.74967	128.57404	127.55449	128.60083	128.22560
69	-1.732684	-0.967203	0.565417	-2.208802	1.158966	127.73707	128.46278	127.54113	128.58925	128.15515
70	-1.506591	-1.007054	0.629622	-2.062276	1.106741	127.73599	128.36507	127.54450	128.59564	128.10176
71	-1.283264	-0.989674	0.718459	-1.896673	1.037148	127.74545	128.28198	127.56300	128.61954	128.06859
72	-1.075402	-0.898720	0.828983	-1.719743	0.961376	127.76453	128.21364	127.59550	128.65927	128.05539
73	-0.886236	-0.722077	0.955487	-1.541731	0.895911	127.79261	128.15970	127.64150	128.71278	128.06012
74	-0.712030	-0.459591	1.093071	-1.371852	0.857837	127.82846	128.11913	127.70105	128.77728	128.08086
75	-0.546223	-0.130301	1.240172	-1.214551	0.860885	127.87112	128.08957	127.77451	128.84990	128.11635
76	-0.382118	0.229480	1.397486	-1.068664	0.911485	127.92034	128.06815	127.86198	128.92894	128.16656
77	-0.214601	0.580436	1.565972	-0.930266	1.007927	127.97650	128.05269	127.96260	129.01407	128.23134
78	-0.041059	0.896408	1.746163	-0.795017	1.143488	128.04097	128.04292	128.07512	129.10622	128.31010
79	0.138658	1.170327	1.938031	-0.659287	1.310353	128.11598	128.04012	128.19824	129.20712	128.40163
80	0.323423	1.408863	2.140486	-0.520489	1.501455	128.20354	128.04634	128.33150	129.31862	128.50423
81	0.511957	1.622906	2.352074	-0.376577	1.710638	128.30559	128.06383	128.47478	129.44226	128.61714
82	0.703473	1.821284	2.568688	-0.225990	1.932850	128.42439	128.09485	128.62900	129.57912	128.74098
83	0.897646	2.009359	2.792161	-0.067842	2.165270	128.56252	128.14182	128.79640	129.73015	128.87732
84	1.095438	2.190449	3.021476	0.098189	2.407281	128.72182	128.20703	128.97964	129.89572	129.02847
85	1.299781	2.368031	3.258060	0.272567	2.660033	128.90324	128.29251	129.18082	130.07536	129.19753
86	1.515379	2.543618	3.503909	0.457286	2.925903	129.10756	128.39922	129.40230	130.26808	129.38785
87	1.748244	2.724678	3.760589	0.656558	3.207335	129.33586	128.52824	129.64697	130.47203	129.60257
88	2.003840	2.911774	4.028250	0.875607	3.505409	129.59033	128.68137	129.91876	130.68636	129.84433
89	2.285270	3.106778	4.305643	1.119182	3.818841	129.87416	128.86143	130.22330	130.91316	130.11586
90	2.592791	3.310630	4.592152	1.391273	4.142387	130.19215	129.07170	130.56857	131.16080	130.42183
91	2.924509	3.525047	4.887282	1.694428	4.474905	130.54974	129.31689	130.96379	131.44293	130.77052
92	3.277366	3.752458	5.192514	2.028610	4.809587	130.95332	129.60336	131.41693	131.77605	131.17088
93	3.647846	3.995682	5.507312	2.390802	5.143279	131.40927	129.93869	131.93350	132.17407	131.62914
94	4.032274	4.256434	5.828666	2.774058	5.473633	131.92326	130.33083	132.51646	132.64404	132.14857
95	4.426233	4.534815	6.151383	3.167283	5.799639	132.49953	130.78706	133.16740	133.18501	132.73151
96	4.823600	4.824771	6.469702	3.557153	6.121420	133.14131	131.31296	133.89030	133.79294	133.38116
97	5.216560	5.128075	6.782092	3.931840	6.441406	133.85065	131.91101	134.69199	134.46704	134.10474
98	5.594637	5.431434	7.094518	4.285526	6.766739	134.62994	132.58267	135.57857	135.21039	134.91257
99	5.951516	5.731326	7.417545	4.619708	7.108915	135.48279	133.33058	136.55099	136.02478	135.81198
100	6.287423	6.026210	7.757876	4.939314	7.479106	136.41277	134.15981	137.60336	136.90685	136.80254
101	6.607466	6.322452	8.112134	5.249008	7.875819	137.41855	135.07394	138.72485	137.84865	137.87477
