	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	-0.362670	-3.233613	-1.481646	-1.644580	-0.745192
2	-1.739638	-3.833139	-2.480477	-2.211502	-1.821475
3	-2.834503	-4.209635	-3.193997	-2.643479	-2.565028
4	-3.625466	-4.417240	-3.641243	-2.947099	-3.012689
5	-4.132021	-4.503530	-3.867383	-3.137195	-3.228704
6	-4.402789	-4.497886	-3.926565	-3.233515	-3.282255
7	-4.497701	-4.411328	-3.870053	-3.255638	-3.232311
8	-4.471117	-4.252545	-3.738897	-3.219395	-3.124179
9	-4.362783	-4.037807	-3.560343	-3.137214	-2.989734
10	-4.199157	-3.784913	-3.350641	-3.019661	-2.848004
11	-3.999056	-3.506153	-3.119893	-2.876468	-2.707119
12	-3.777503	-3.206923	-2.875510	-2.717127	-2.566755
13	-3.544662	-2.890887	-2.625928	-2.548952	-2.425025
14	-3.305468	-2.564889	-2.380947	-2.375216	-2.284160
15	-3.063089	-2.238391	-2.149596	-2.197623	-2.150565
16	-2.822181	-1.921934	-1.940342	-2.019064	-2.032904
17	-2.591157	-1.628612	-1.759263	-1.843698	-1.938899
18	-2.381103	-1.372372	-1.607695	-1.676386	-1.871495
19	-2.201571	-1.161780	-1.483582	-1.523257	-1.827537
20	-2.058600	-0.996743	-1.383630	-1.390996	-1.801147
21	-1.954530	-0.869745	-1.304375	-1.284284	-1.787006
22	-1.886966	-0.768766	-1.242443	-1.204490	-1.780899
23	-1.849145	-0.680506	-1.194629	-1.148939	-1.779608
24	-1.831855	-0.593544	-1.157544	-1.112001	-1.778956
25	-1.825867	-0.499725	-1.126412	-1.088004	-1.773148
26	-1.823389	-0.394280	-1.094188	-1.072210	-1.755433
27	-1.817552	-0.275695	-1.053438	-1.058704	-1.719177
28	-1.801383	-0.143978	-1.000043	-1.040902	-1.661593
29	-1.769207	0.000514	-0.934284	-1.015753	-1.585101
30	-1.718021	0.157461	-0.859248	-0.984166	-1.491665
31	-1.645790	0.326834	-0.779869	-0.948356	-1.383217
32	-1.550892	0.507420	-0.702570	-0.911048	-1.268790
33	-1.435705	0.694163	-0.633914	-0.873859	-1.161634
34	-1.307937	0.880108	-0.577468	-0.834531	-1.070630
35	-1.176783	1.060624	-0.534648	-0.790243	-1.000461
36	-1.050558	1.233068	-0.509243	-0.744543	-0.952954
37	-0.936164	1.395708	-0.504295	-0.705488	-0.924403
38	-0.837962	1.547315	-0.516369	-0.678807	-0.906690
39	-0.756064	1.686509	-0.537587	-0.666272	-0.891955
40	-0.686200	1.811277	-0.561424	-0.666645	-0.873859
41	-0.621112	1.919142	-0.583930	-0.675551	-0.848010
42	-0.552402	2.008304	-0.603056	-0.685965	-0.811810
43	-0.474210	2.078783	-0.619456	-0.691101	-0.763829
44	-0.386357	2.131580	-0.635923	-0.686352	-0.704309
45	-0.293609	2.167124	-0.648337	-0.668584	-0.633756
46	-0.202412	2.183633	-0.638603	-0.634973	-0.555239
47	-0.117423	2.177473	-0.585747	-0.585573	-0.475016
48	-0.040586	2.153287	-0.480543	-0.526697	-0.396863
49	0.030546	2.128294	-0.328180	-0.469192	-0.321042
50	0.102760	2.116452	-0.146557	-0.424639	-0.246281
51	0.184147	2.117754	0.039985	-0.401239	-0.167460
52	0.279354	2.126194	0.210270	-0.403847	-0.082930
53	0.388503	2.136452	0.353115	-0.434147	-0.004770
54	0.508023	2.140354	0.469080	-0.485261	0.051987
