	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	Y	Y	Y	Y	Y	X	X	X	X	X
1	0.102019	-0.777407	0.506406	1.759622	2.029932	136.98953	138.96223	137.75493	137.38266	137.60324
2	-0.593555	-1.442503	-0.019019	0.567460	1.015905	137.58307	139.46646	138.29782	137.63594	137.93242
3	-1.170649	-2.012100	-0.509537	-0.438853	0.145651	138.02998	139.85648	138.73296	137.84213	138.12967
4	-1.625839	-2.470386	-0.943991	-1.226009	-0.550932	138.31714	140.08252	139.02211	138.01476	138.22029
5	-1.959600	-2.813951	-1.307706	-1.786520	-1.061606	138.45700	140.12862	139.15698	138.16043	138.24232
6	-2.177699	-3.048315	-1.589907	-2.139896	-1.393005	138.46530	140.00352	139.14867	138.27100	138.22539
7	-2.291682	-3.185255	-1.786810	-2.324236	-1.567299	138.34933	139.73247	139.01447	138.32503	138.18030
8	-2.314898	-3.238894	-1.899833	-2.381107	-1.615711	138.11113	139.35757	138.76920	138.29803	138.10445
9	-2.262175	-3.222450	-1.933205	-2.352247	-1.571381	137.75912	138.93834	138.43063	138.17450	137.99440
10	-2.140794	-3.142434	-1.892674	-2.269380	-1.463502	137.32246	138.53499	138.03773	137.95702	137.85161
11	-1.953327	-3.010252	-1.786029	-2.155665	-1.316067	136.85483	138.18617	137.65102	137.67033	137.67812
12	-1.708665	-2.828863	-1.625058	-2.024102	-1.145782	136.41638	137.90190	137.32202	137.35811	137.47301
13	-1.418773	-2.604010	-1.424366	-1.873031	-0.974862	136.04878	137.66869	137.06642	137.06650	137.23932
14	-1.098603	-2.344767	-1.197874	-1.699339	-0.811964	135.76178	137.45900	136.86833	136.82353	136.99126
15	-0.765345	-2.064307	-0.957679	-1.497594	-0.664446	135.53973	137.24538	136.69998	136.63403	136.74817
16	-0.434989	-1.777024	-0.713381	-1.270420	-0.537111	135.36195	137.01213	136.53519	136.48508	136.52246
17	-0.120951	-1.495603	-0.471781	-1.026770	-0.434473	135.21913	136.75829	136.35834	136.35747	136.31497
18	0.165759	-1.230061	-0.241566	-0.780915	-0.360697	135.11368	136.49567	136.16710	136.23737	136.12251
19	0.417074	-0.987110	-0.034925	-0.548699	-0.319177	135.04695	136.24147	135.96587	136.11954	135.94443
20	0.629909	-0.769997	0.138150	-0.343444	-0.309676	135.01088	136.00829	135.75830	136.00180	135.78043
