	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-L-nR_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	0.145100	-3.564636	-2.538951	-1.063550	-1.886797
2	-1.359052	-4.831787	-4.061038	-2.361587	-3.248908
3	-2.669379	-5.828719	-5.312820	-3.541612	-4.349332
4	-3.709896	-6.527678	-6.251374	-4.512124	-5.141027
5	-4.448308	-6.946171	-6.873829	-5.221326	-5.626810
6	-4.901457	-7.135028	-7.216189	-5.660475	-5.848092
7	-5.119606	-7.155491	-7.335732	-5.859590	-5.870819
8	-5.168314	-7.064680	-7.298622	-5.873806	-5.766944
9	-5.113041	-6.911301	-7.170948	-5.770326	-5.600279
10	-5.009258	-6.736433	-7.010856	-5.615843	-5.418484
11	-4.897205	-6.572529	-6.861866	-5.464914	-5.252188
12	-4.802047	-6.442984	-6.749674	-5.352470	-5.119415
13	-4.735957	-6.362865	-6.682490	-5.292328	-5.029639
14	-4.700610	-6.338269	-6.655097	-5.281895	-4.985197
15	-4.690217	-6.365518	-6.654468	-5.310164	-4.982118
16	-4.694636	-6.432137	-6.664514	-5.362233	-5.011434
17	-4.702191	-6.518909	-6.670002	-5.423103	-5.060893
18	-4.701691	-6.604679	-6.659384	-5.481690	-5.117221
19	-4.685276	-6.672611	-6.627117	-5.531378	-5.170112
20	-4.651138	-6.713635	-6.575145	-5.569395	-5.214984
21	-4.603701	-6.726313	-6.512360	-5.596886	-5.252235
22	-4.551678	-6.716632	-6.451060	-5.618345	-5.284895
23	-4.505781	-6.696588	-6.401579	-5.638466	-5.318362
24	-4.477197	-6.680088	-6.368554	-5.658804	-5.355196
25	-4.475988	-6.676550	-6.350706	-5.677789	-5.396184
26	-4.507420	-6.687223	-6.344368	-5.693412	-5.439226
27	-4.569090	-6.707403	-6.347497	-5.704503	-5.482017
28	-4.653092	-6.729492	-6.360852	-5.708632	-5.522234
29	-4.750962	-6.745863	-6.385303	-5.705688	-5.559193
30	-4.855735	-6.750071	-6.419326	-5.695667	-5.592788
31	-4.961167	-6.735258	-6.454257	-5.678048	-5.621850
32	-5.060703	-6.696835	-6.482749	-5.653636	-5.638931
33	-5.146887	-6.637460	-6.497810	-5.622664	-5.641585
34	-5.213276	-6.563800	-6.494719	-5.584892	-5.628475
35	-5.256827	-6.481494	-6.470653	-5.542597	-5.600809
36	-5.277203	-6.395783	-6.426045	-5.501039	-5.560827
37	-5.276636	-6.311499	-6.364565	-5.464306	-5.511695
38	-5.256080	-6.230584	-6.291560	-5.431342	-5.456371
39	-5.221100	-6.151853	-6.212637	-5.396492	-5.395482
40	-5.180582	-6.072313	-6.131912	-5.354367	-5.327353
41	-5.142749	-5.987635	-6.051162	-5.302390	-5.251613
42	-5.111813	-5.894271	-5.969683	-5.240362	-5.170782
43	-5.087183	-5.790884	-5.883653	-5.168799	-5.092374
44	-5.064705	-5.676921	-5.791088	-5.086608	-5.018216
45	-5.042038	-5.549803	-5.690418	-4.991030	-4.945648
46	-5.012134	-5.406156	-5.577359	-4.881225	-4.867022
47	-4.968992	-5.246581	-5.447897	-4.761309	-4.775161
48	-4.908133	-5.076366	-5.299295	-4.639266	-4.669816
49	-4.828472	-4.901544	-5.133516	-4.524343	-4.558261
50	-4.731975	-4.730153	-4.956742	-4.425637	-4.448771
51	-4.620977	-4.575118	-4.777336	-4.350983	-4.346742
52	-4.497979	-4.450711	-4.605626	-4.304247	-4.258201
