	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S06\WOW\S06_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S06\WOW\S06_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S06\WOW\S06_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S06\WOW\S06_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S06\WOW\S06_WOW-L-nR_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	3.327573	4.064499	3.190003	4.700329	2.832950
2	2.247139	2.797216	1.904018	3.627707	1.880945
3	1.380787	1.673457	0.805208	2.634574	1.086164
4	0.740750	0.761918	-0.049915	1.785224	0.479688
5	0.304998	0.084480	-0.653892	1.113608	0.061434
6	0.028451	-0.378141	-1.041019	0.620878	-0.193616
7	-0.141569	-0.669748	-1.266149	0.284478	-0.323904
8	-0.248390	-0.841456	-1.383750	0.069356	-0.369988
9	-0.318149	-0.939038	-1.437306	-0.062260	-0.367753
10	-0.363079	-0.994534	-1.456459	-0.142815	-0.344276
11	-0.386922	-1.024691	-1.457014	-0.194606	-0.316412
12	-0.388916	-1.035051	-1.443990	-0.229695	-0.292787
13	-0.369150	-1.025773	-1.416996	-0.253759	-0.276342
14	-0.331572	-0.996127	-1.375514	-0.268352	-0.265596
15	-0.281064	-0.946625	-1.321280	-0.271273	-0.255691
16	-0.221777	-0.881271	-1.257222	-0.259209	-0.241024
17	-0.158673	-0.807707	-1.186361	-0.231245	-0.218448
18	-0.098798	-0.733808	-1.111733	-0.189981	-0.188351
19	-0.048614	-0.665859	-1.036049	-0.141161	-0.153068
20	-0.010891	-0.608323	-0.961063	-0.092176	-0.115166
21	0.016054	-0.562225	-0.888736	-0.048526	-0.076321
22	0.037286	-0.523973	-0.822423	-0.012427	-0.036474
23	0.058757	-0.488059	-0.763851	0.016096	0.006286
24	0.085049	-0.450064	-0.710274	0.038519	0.054877
25	0.119981	-0.407792	-0.657041	0.057637	0.110895
26	0.166830	-0.361956	-0.601771	0.077938	0.172492
27	0.225980	-0.315181	-0.544937	0.104452	0.234703
28	0.293653	-0.269756	-0.487980	0.140370	0.292515
29	0.364117	-0.227427	-0.432015	0.185694	0.343469
30	0.432333	-0.189238	-0.378434	0.236720	0.387735
31	0.494755	-0.155259	-0.329477	0.287633	0.427288
32	0.549285	-0.124633	-0.286629	0.334406	0.465167
33	0.594730	-0.095612	-0.250335	0.376096	0.503953
34	0.629938	-0.065673	-0.221029	0.412553	0.544797
35	0.655079	-0.032588	-0.197838	0.443970	0.587411
36	0.672528	0.005064	-0.176680	0.472163	0.630676
37	0.686671	0.048656	-0.151199	0.499534	0.674518
38	0.702823	0.100344	-0.116294	0.526910	0.720948
39	0.725469	0.163278	-0.069498	0.554618	0.773261
40	0.760241	0.241620	-0.009459	0.585248	0.835886
41	0.811019	0.338710	0.064885	0.624069	0.914802
42	0.880859	0.453352	0.153951	0.676678	1.016948
43	0.971057	0.578404	0.256033	0.744635	1.147000
44	1.075476	0.704540	0.364721	0.823686	1.302219
45	1.182147	0.823590	0.470581	0.906725	1.472047
46	1.277216	0.926703	0.564196	0.986320	1.645184
47	1.347230	1.002712	0.635579	1.053784	1.813685
48	1.382454	1.043375	0.674409	1.099511	1.969760
49	1.382017	1.051783	0.674678	1.115948	2.102113
50	1.355846	1.042636	0.640782	1.102371	2.199387
51	1.317373	1.032363	0.587589	1.067161	2.257500
52	1.275784	1.030854	0.532117	1.021668	2.284461
53	1.235637	1.042817	0.484974	0.972733	2.298480
54	1.199150	1.071259	0.450478	0.922997	2.316739
55	1.168749	1.116812	0.430539	0.874337	2.348424
56	1.147470	1.176741	0.426033	0.830061	2.397827
57	1.137582	1.246969	0.436664	0.794469	2.466647
58	1.139701	1.323679	0.460987	0.770316	2.552359
