	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	1.184650	1.498048	-0.169219	0.674031	0.760372
2	0.220818	0.658960	-1.067063	0.138498	-0.152050
3	-0.607002	-0.057962	-1.796643	-0.274872	-0.929898
4	-1.268737	-0.619339	-2.339201	-0.567839	-1.532606
5	-1.754299	-1.016267	-2.699378	-0.755195	-1.950984
6	-2.071078	-1.260036	-2.898441	-0.857122	-2.202614
7	-2.239200	-1.374772	-2.966439	-0.891774	-2.320825
8	-2.285690	-1.389353	-2.935508	-0.872626	-2.343352
9	-2.239206	-1.331699	-2.836031	-0.810351	-2.303694
10	-2.126869	-1.225494	-2.695179	-0.715306	-2.227522
11	-1.972479	-1.088627	-2.535653	-0.597927	-2.130291
12	-1.795436	-0.933516	-2.374358	-0.466656	-2.016996
13	-1.610518	-0.769241	-2.221550	-0.327288	-1.886891
14	-1.428459	-0.603718	-2.081547	-0.184747	-1.740025
15	-1.257058	-0.444487	-1.955871	-0.043657	-1.581223
16	-1.102071	-0.298561	-1.845942	0.091911	-1.419511
17	-0.967872	-0.171306	-1.752750	0.218611	-1.264843
18	-0.857431	-0.065792	-1.675745	0.333555	-1.126149
19	-0.771933	0.016205	-1.613281	0.433557	-1.010661
20	-0.711044	0.073361	-1.563491	0.515925	-0.923675
21	-0.673313	0.105036	-1.524681	0.579463	-0.868677
22	-0.656402	0.111349	-1.495665	0.623916	-0.847038
23	-0.657196	0.093252	-1.475603	0.649473	-0.857442
24	-0.672135	0.053320	-1.463484	0.657176	-0.895051
25	-0.697945	-0.003379	-1.457664	0.649586	-0.951589
26	-0.732254	-0.070141	-1.455836	0.630791	-1.017646
27	-0.773553	-0.139937	-1.455051	0.605513	-1.085015
28	-0.820243	-0.205778	-1.452257	0.577507	-1.147218
29	-0.869696	-0.262287	-1.445445	0.548089	-1.199343
30	-0.919005	-0.306922	-1.434691	0.516633	-1.238697
31	-0.966038	-0.339494	-1.422051	0.482343	-1.265381
32	-1.008978	-0.362580	-1.410364	0.445794	-1.281215
33	-1.045795	-0.380299	-1.402263	0.409634	-1.287571
34	-1.075310	-0.396110	-1.399321	0.377528	-1.285299
35	-1.098028	-0.412552	-1.400895	0.352439	-1.276009
36	-1.116245	-0.431619	-1.405154	0.336151	-1.262111
37	-1.134118	-0.454417	-1.410829	0.329113	-1.245478
38	-1.155203	-0.481095	-1.417089	0.330516	-1.227001
39	-1.178507	-0.510812	-1.422962	0.340012	-1.206666
40	-1.198758	-0.541126	-1.426877	0.358207	-1.182778
41	-1.210954	-0.567964	-1.426361	0.385822	-1.151907
42	-1.212852	-0.586943	-1.417834	0.423131	-1.109629
43	-1.204053	-0.595473	-1.397513	0.467423	-1.053663
44	-1.184496	-0.594642	-1.365297	0.510499	-0.989547
45	-1.154182	-0.590249	-1.328075	0.541891	-0.930131
46	-1.114793	-0.591384	-1.297075	0.553766	-0.888630
47	-1.072434	-0.606046	-1.283224	0.541290	-0.875494
48	-1.037294	-0.638613	-1.294936	0.502544	-0.898717
49	-1.018575	-0.691680	-1.336214	0.441939	-0.961582
50	-1.022380	-0.765145	-1.403751	0.370110	-1.058446
51	-1.054226	-0.853821	-1.488064	0.296950	-1.175218
52	-1.117301	-0.950329	-1.579777	0.227229	-1.295732
53	-1.207774	-1.048840	-1.673263	0.161854	-1.407418
54	-1.315029	-1.146408	-1.765478	0.100127	-1.503985
