	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WOW\S05_WOW-N-nR_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	Y	Y	Y	Y	Y	Y	X	X	X	X	X	X
1	-2.670586	-1.540319	-2.837107	-2.048404	-0.915987	-0.822277	160.39595	161.21706	160.00262	160.56653	160.83278	160.67111
2	-4.207303	-2.908412	-4.382634	-3.684585	-2.591071	-2.507814	160.27626	161.10066	159.73804	160.24202	160.60649	160.30862
3	-5.499117	-4.091932	-5.694376	-5.039042	-4.040602	-3.977811	160.23167	161.04247	159.57710	160.00218	160.42616	160.03979
4	-6.476463	-5.011895	-6.697989	-6.045597	-5.165634	-5.136849	160.28806	161.07611	159.55057	159.87372	160.32278	159.90785
5	-7.124547	-5.642009	-7.372055	-6.700262	-5.934327	-5.951208	160.43619	161.20255	159.64734	159.83823	160.29660	159.91095
6	-7.476422	-6.006839	-7.743308	-7.049245	-6.376053	-6.442695	160.63472	161.38905	159.82640	159.85226	160.32191	160.00586
7	-7.592815	-6.162902	-7.868885	-7.164746	-6.558298	-6.668925	160.83022	161.58630	160.03738	159.87285	160.36206	160.12967
8	-7.541971	-6.176293	-7.816881	-7.122540	-6.562015	-6.702286	160.97830	161.74974	160.23672	159.87328	160.38441	160.22383
9	-7.387244	-6.107616	-7.652857	-6.990022	-6.462807	-6.614486	161.05403	161.85060	160.39667	159.84621	160.36995	160.25101
10	-7.179651	-6.003648	-7.432494	-6.820836	-6.320653	-6.467112	161.05307	161.87927	160.50650	159.79805	160.31630	160.19946
