	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S05\WW\S05_WW-N-0_G_01.c3d Copy
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	Y	Y	Y	Y	Y	X	X	X	X	X
1	-4.722452	-4.474380	-3.734340	-4.386767	-5.336116	157.99713	157.43547	157.59547	157.35832	157.92577
2	-5.121799	-4.957762	-4.224638	-4.819037	-5.681672	158.00943	157.43071	157.61353	157.30199	157.96991
3	-5.383307	-5.262397	-4.547369	-5.087516	-5.870647	158.01373	157.42639	157.63589	157.24355	157.98860
4	-5.523948	-5.415999	-4.728307	-5.215758	-5.936513	158.00684	157.39838	157.63707	157.17546	157.97549
5	-5.567071	-5.456277	-4.806899	-5.236644	-5.917768	157.98157	157.32814	157.59831	157.08742	157.92282
6	-5.537909	-5.422194	-4.826103	-5.184535	-5.849148	157.93359	157.20844	157.51329	156.97038	157.82779
7	-5.460631	-5.347490	-4.824105	-5.090081	-5.756483	157.86563	157.04597	157.38918	156.82028	157.69284
8	-5.358261	-5.259215	-4.832551	-4.979105	-5.660010	157.78510	156.85844	157.24585	156.63968	157.52454
9	-5.251380	-5.177609	-4.871137	-4.871745	-5.572266	157.69905	156.66708	157.10793	156.43602	157.33621
10	-5.159876	-5.111886	-4.946735	-4.776593	-5.497302	157.61346	156.49031	156.99582	156.22328	157.14842
11	-5.096387	-5.064963	-5.057194	-4.694226	-5.432770	157.53651	156.34233	156.92540	156.02333	156.98331
12	-5.063916	-5.033187	-5.193750	-4.618635	-5.371356	157.47974	156.23416	156.90840	155.86253	156.85565
13	-5.058072	-5.008636	-5.343987	-4.542789	-5.304835	157.45251	156.17169	156.94806	155.76089	156.76920
14	-5.069788	-4.983185	-5.495125	-4.463112	-5.228287	157.45450	156.15335	157.03462	155.71935	156.71912
15	-5.089108	-4.952590	-5.637302	-4.381145	-5.142016	157.47343	156.17210	157.14589	155.71979	156.69707
16	-5.108439	-4.917330	-5.764536	-4.302206	-5.049878	157.49269	156.22000	157.25394	155.73891	156.69579
17	-5.123561	-4.879500	-5.873725	-4.231738	-4.957218	157.50107	156.28749	157.33611	155.75862	156.70821
18	-5.132516	-4.840584	-5.964035	-4.171012	-4.870203	157.49539	156.36211	157.38091	155.76753	156.72601
19	-5.134472	-4.801060	-6.036534	-4.114604	-4.794900	157.47714	156.43005	157.38826	155.76086	156.74095
