	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WOW\S02_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WOW\S02_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WOW\S02_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WOW\S02_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WOW\S02_WOW-A-R_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	152.954742	153.707092	153.570923	153.438217	153.951981
2	152.837372	153.446304	153.321930	153.228073	153.759583
3	152.710312	153.203018	153.108627	153.040070	153.551590
4	152.605316	153.016373	152.962692	152.911804	153.375381
5	152.537521	152.889481	152.880127	152.847382	153.255066
6	152.511017	152.806091	152.833481	152.825836	153.190735
7	152.524841	152.752914	152.798920	152.826248	153.168533
8	152.577942	152.731323	152.775345	152.846390	153.172180
9	152.669617	152.753067	152.779739	152.899048	153.196060
10	152.797653	152.829041	152.830627	152.997604	153.246689
11	152.957886	152.961288	152.935898	153.144577	153.330780
12	153.141708	153.140076	153.090561	153.330444	153.447235
13	153.333374	153.346222	153.280945	153.537949	153.585480
14	153.511932	153.555481	153.486053	153.745651	153.726532
15	153.659622	153.742096	153.679443	153.931534	153.849625
16	153.766891	153.885818	153.837250	154.080292	153.939545
17	153.832153	153.980179	153.947372	154.185379	153.988297
18	153.858185	154.029251	154.012589	154.246048	153.993164
19	153.849915	154.040482	154.044510	154.265137	153.954498
20	153.811417	154.022903	154.054199	154.248169	153.875809
21	153.743149	153.986008	154.048752	154.201965	153.764938
22	153.645370	153.937057	154.033508	154.135971	153.632736
23	153.524368	153.881241	154.014328	154.059647	153.490173
24	153.394119	153.822784	153.995270	153.976501	153.345886
25	153.269547	153.764999	153.972061	153.881317	153.205475
26	153.160110	153.706543	153.933105	153.766632	153.072021
27	153.069550	153.639069	153.872177	153.632751	152.946243
28	152.997467	153.555267	153.797897	153.492752	152.822662
29	152.941833	153.460449	153.724380	153.363754	152.692871
30	152.899460	153.371094	153.659485	153.255722	152.555267
31	152.866165	153.302704	153.605957	153.169540	152.415588
32	152.838318	153.261398	153.563995	153.100693	152.279831
33	152.814346	153.245789	153.533173	153.040756	152.151459
34	152.792496	153.251251	153.511307	152.980515	152.031845
35	152.768417	153.270264	153.492310	152.914658	151.918518
36	152.736771	153.293823	153.470505	152.845535	151.806213
37	152.694397	153.316406	153.444229	152.780792	151.690948
38	152.640335	153.339447	153.411804	152.727615	151.572617
39	152.576385	153.366058	153.371307	152.691330	151.454788
40	152.508118	153.395447	153.326401	152.676483	151.343552
41	152.442795	153.424789	153.283752	152.683350	151.243713
42	152.386078	153.452087	153.245239	152.706192	151.158600
43	152.341095	153.473755	153.207138	152.737686	151.090530
44	152.307556	153.484772	153.167191	152.770920	151.039108
45	152.283569	153.480728	153.125397	152.799210	151.002899
46	152.267334	153.458008	153.081573	152.817276	150.981995
47	152.256271	153.415466	153.034760	152.822845	150.977005
48	152.246750	153.356400	152.982986	152.815933	150.984894
49	152.231293	153.289780	152.925247	152.796249	151.000015
50	152.191818	153.228439	152.862183	152.757904	151.013763
51	152.107803	153.178894	152.792267	152.689804	151.011536
52	151.969360	153.127106	152.702988	152.584656	150.975189
53	151.776581	153.037216	152.574478	152.439194	150.886169
54	151.541901	152.880249	152.395584	152.254532	150.733810
55	151.294449	152.655228	152.168243	152.042862	150.532288
56	151.079376	152.374435	151.906067	151.822205	150.308578
57	150.931335	152.058868	151.635696	151.611145	150.084213
58	150.839340	151.767853	151.388870	151.427551	149.876404
59	150.765488	151.575256	151.178513	151.273529	149.695007
60	150.681000	151.488770	150.994125	151.131470	149.533386
61	150.576309	151.453949	150.822250	150.981033	149.373627
62	150.450562	151.414474	150.655243	150.814224	149.207687
63	150.305115	151.343185	150.487671	150.634506	149.041641
64	150.144424	151.235596	150.315826	150.448792	148.881729
65	149.975769	151.095688	150.140594	150.264328	148.730621
66	149.805679	150.930191	149.967896	150.087723	148.589890
67	149.638458	150.745667	149.805313	149.923264	148.459427
68	149.477417	150.547989	149.658340	149.771851	148.337967
69	149.324722	150.343826	149.526459	149.631546	148.224670
70	149.181305	150.140350	149.403305	149.500107	148.118454
71	149.047348	149.944656	149.283157	149.375793	148.018021
72	148.921890	149.763336	149.162964	149.257172	147.922150
73	148.803558	149.601486	149.041016	149.142990	147.828903
74	148.691101	149.461945	148.916214	149.031052	147.735458
75	148.582733	149.344833	148.789032	148.919785	147.638718
76	148.476929	149.247147	148.660583	148.809570	147.535706
77	148.372543	149.163116	148.531631	148.700912	147.423965
78	148.268600	149.085281	148.402420	148.594284	147.303055
79	148.163452	149.007736	148.272995	148.490234	147.176422
80	148.053833	148.927643	148.143860	148.388748	147.052002
81	147.938400	148.845093	148.016327	148.288727	146.939209
82	147.822556	148.761581	147.893936	148.189255	146.844437
83	147.715317	148.678665	147.781128	148.090195	146.770096
84	147.622437	148.597443	147.683273	147.993927	146.716766
85	147.546295	148.518829	147.607132	147.907501	146.683838
86	147.487457	148.444885	147.556885	147.838654	146.669907
87	147.446198	148.381943	147.530899	147.792282	146.672974
88	147.422852	148.338699	147.525284	147.770874	146.691147
89	147.417709	148.320953	147.535950	147.775116	146.722366
90	147.430374	148.330673	147.561188	147.803085	146.765732
91	147.460953	148.366959	147.600586	147.851547	146.821075
92	147.510818	148.427612	147.654541	147.918518	146.887939
93	147.581299	148.508499	147.723297	148.002731	146.966354
94	147.672882	148.604324	147.807983	148.103790	147.057236
95	147.783524	148.712448	147.910294	148.221619	147.163742
96	147.910477	148.833466	148.032394	148.356842	147.289047
97	148.051147	148.970627	148.176956	148.509247	147.435501
98	148.201172	149.126801	148.344849	148.677063	147.605164
99	148.353683	149.301636	148.532761	148.856445	147.797562
100	148.499420	149.490540	148.733582	149.041626	148.009155
101	148.628006	149.686890	148.937485	149.225433	148.236191
