	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WW\S16_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WW\S16_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WW\S16_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WW\S16_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WW\S16_WW-L-0_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	-1.799516	-2.628307	-2.782686	-2.966007	-2.509517
2	-2.260858	-2.954586	-3.144769	-3.303132	-3.077142
3	-2.629546	-3.164681	-3.404072	-3.539824	-3.518904
4	-2.898996	-3.266391	-3.562428	-3.682063	-3.827773
5	-3.070655	-3.275521	-3.626426	-3.739385	-4.006366
6	-3.154343	-3.213803	-3.610956	-3.729506	-4.071039
7	-3.168681	-3.106908	-3.536170	-3.672097	-4.046946
8	-3.138005	-2.981277	-3.425127	-3.589891	-3.965327
9	-3.092041	-2.859664	-3.300890	-3.505752	-3.859585
10	-3.051681	-2.758824	-3.183781	-3.438049	-3.760206
11	-3.030837	-2.687906	-3.089538	-3.398827	-3.689863
12	-3.036175	-2.653288	-3.027949	-3.394359	-3.659873
13	-3.068604	-2.655970	-3.002419	-3.424932	-3.671040
14	-3.121644	-2.695913	-3.010693	-3.483746	-3.716088
15	-3.183173	-2.766876	-3.046040	-3.558506	-3.780029
16	-3.240831	-2.858403	-3.101954	-3.636628	-3.841190
17	-3.285679	-2.957262	-3.166868	-3.709890	-3.873828
18	-3.313672	-3.049341	-3.232761	-3.774763	-3.857042
19	-3.326870	-3.123983	-3.289869	-3.830978	-3.785499
20	-3.331606	-3.176960	-3.337537	-3.881547	-3.670380
21	-3.334397	-3.211628	-3.377216	-3.931956	-3.532279
22	-3.339155	-3.237444	-3.411367	-3.987459	-3.390603
23	-3.348287	-3.266223	-3.441451	-4.051033	-3.257614
24	-3.355303	-3.308122	-3.467114	-4.122253	-3.137938
25	-3.356738	-3.368722	-3.487918	-4.196972	-3.032223
26	-3.349507	-3.446389	-3.504580	-4.268321	-2.934851
27	-3.336179	-3.529605	-3.517805	-4.329482	-2.842275
28	-3.320104	-3.600313	-3.528336	-4.375795	-2.746150
29	-3.299959	-3.644192	-3.536617	-4.405007	-2.638931
30	-3.271677	-3.656049	-3.540809	-4.416656	-2.516685
31	-3.232057	-3.637840	-3.535737	-4.410861	-2.378688
32	-3.179659	-3.595546	-3.515735	-4.386981	-2.228265
33	-3.115301	-3.536218	-3.478634	-4.343657	-2.075029
34	-3.042385	-3.466158	-3.425932	-4.281137	-1.932852
35	-2.965907	-3.390494	-3.360284	-4.205658	-1.811814
36	-2.889914	-3.313149	-3.286430	-4.131417	-1.719475
37	-2.817261	-3.236967	-3.213063	-4.074697	-1.652715
38	-2.750166	-3.163995	-3.150045	-4.043414	-1.603204
39	-2.689895	-3.097538	-3.103765	-4.034733	-1.559303
40	-2.638286	-3.044003	-3.074304	-4.043424	-1.511449
41	-2.600322	-3.012804	-3.056540	-4.059163	-1.454072
42	-2.582957	-3.014196	-3.045325	-4.076937	-1.385289
43	-2.588187	-3.053288	-3.038024	-4.093108	-1.305290
44	-2.608990	-3.122257	-3.039084	-4.106238	-1.213862
45	-2.628210	-3.204758	-3.049174	-4.110548	-1.112156
46	-2.628419	-3.278444	-3.065413	-4.099556	-1.007009
47	-2.601686	-3.323836	-3.080092	-4.069144	-0.908260
48	-2.549149	-3.333973	-3.087020	-4.020289	-0.823825
49	-2.475889	-3.313896	-3.085490	-3.958314	-0.759746
50	-2.389997	-3.274567	-3.078968	-3.891961	-0.721106
51	-2.302680	-3.229216	-3.073811	-3.831751	-0.709848
52	-2.228520	-3.192701	-3.077737	-3.786803	-0.718646
53	-2.186914	-3.182845	-3.094683	-3.760214	-0.729013
