	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	Y	Y	Y	Y	Y	X	X	X	X	X
1	-0.951520	-2.690980	-0.769671	-1.074151	-1.637515	155.10565	155.16943	154.59778	155.41597	154.84949
2	-1.815755	-3.497120	-1.679392	-1.931224	-2.395347	154.91733	155.19150	154.54076	155.30240	154.80067
3	-2.561465	-4.064573	-2.408002	-2.608463	-2.985975	154.63194	155.16895	154.39207	155.06509	154.68857
4	-3.142323	-4.359339	-2.906136	-3.058168	-3.371100	154.28049	155.10960	154.18173	154.75314	154.51707
5	-3.529357	-4.391095	-3.151790	-3.269719	-3.540683	153.93491	155.06017	153.98494	154.45230	154.32790
6	-3.720670	-4.209448	-3.158202	-3.272778	-3.516351	153.67406	155.07069	153.87520	154.24080	154.17133
7	-3.739695	-3.887684	-2.967483	-3.125240	-3.344363	153.55156	155.16640	153.88977	154.15988	154.08098
8	-3.627700	-3.503198	-2.637671	-2.895457	-3.081264	153.58076	155.33315	154.01816	154.20171	154.06171
9	-3.434896	-3.120773	-2.231499	-2.648263	-2.780752	153.73276	155.52391	154.20979	154.31232	154.09023
10	-3.210267	-2.781955	-1.806100	-2.432802	-2.487459	153.95036	155.68890	154.39909	154.42216	154.13576
11	-2.991970	-2.504264	-1.402463	-2.273602	-2.232380	154.17545	155.80568	154.53911	154.48872	154.18619
12	-2.800418	-2.290387	-1.040799	-2.171519	-2.027759	154.37387	155.88129	154.62093	154.51591	154.25151
13	-2.638438	-2.138065	-0.725925	-2.114031	-1.869308	154.54044	155.92761	154.66649	154.53322	154.34235
14	-2.499186	-2.044768	-0.454413	-2.084253	-1.745894	154.68176	155.94458	154.70392	154.56613	154.45166
15	-2.375133	-2.009603	-0.220300	-2.066453	-1.647263	154.79805	155.92140	154.74829	154.61865	154.55754
16	-2.264015	-2.032850	-0.020238	-2.051071	-1.567099	154.87881	155.84576	154.79755	154.67319	154.63734
17	-2.171161	-2.113339	0.144859	-2.036253	-1.502624	154.90953	155.71420	154.83943	154.70499	154.67683
18	-2.106621	-2.246344	0.272002	-2.025713	-1.452744	154.88245	155.53426	154.86249	154.69962	154.67375
19	-2.079708	-2.424294	0.358346	-2.026401	-1.417798	154.80208	155.31874	154.86386	154.65511	154.63518
20	-2.095240	-2.638028	0.400838	-2.046365	-1.400906	154.68025	155.07986	154.84698	154.57443	154.57130
21	-2.153251	-2.875975	0.396727	-2.092127	-1.406410	154.52840	154.82686	154.81416	154.46091	154.49097
22	-2.250449	-3.124194	0.345673	-2.165316	-1.435848	154.35394	154.56699	154.76315	154.31924	154.39903
23	-2.381586	-3.368613	0.251598	-2.259828	-1.486186	154.16222	154.30688	154.69148	154.15546	154.29788
24	-2.538676	-3.596287	0.122747	-2.362048	-1.551074	153.95793	154.05405	154.60239	153.97762	154.18857
25	-2.709890	-3.795321	-0.029270	-2.453906	-1.622691	153.74664	153.81775	154.50446	153.79533	154.07170
26	-2.880926	-3.955127	-0.190799	-2.516620	-1.693095	153.53470	153.60666	154.40698	153.61703	153.94812
27	-3.037209	-4.067264	-0.347096	-2.533964	-1.754061	153.32883	153.42604	154.31610	153.44809	153.82056
28	-3.165685	-4.127117	-0.485516	-2.494845	-1.797072	153.13461	153.27539	154.23373	153.29005	153.69330
29	-3.255951	-4.136351	-0.598274	-2.397376	-1.814625	152.95583	153.15039	154.15829	153.14217	153.57106
30	-3.302140	-4.104040	-0.682106	-2.249277	-1.801642	152.79402	153.04430	154.08652	153.00259	153.45857
