	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	-3.632509	-6.471281	-4.671244	-4.807924	-4.511718
2	-4.077889	-6.702807	-5.046999	-5.172981	-5.030017
3	-4.372534	-6.795155	-5.250962	-5.381822	-5.369926
4	-4.540848	-6.799056	-5.328538	-5.471877	-5.557704
5	-4.610440	-6.760300	-5.324889	-5.483976	-5.630436
6	-4.608389	-6.712382	-5.276249	-5.453042	-5.628074
7	-4.558184	-6.675136	-5.207439	-5.403381	-5.586530
8	-4.478491	-6.656525	-5.134115	-5.349185	-5.534954
9	-4.382569	-6.654536	-5.066185	-5.297602	-5.493985
10	-4.280484	-6.660443	-5.009255	-5.251056	-5.474090
11	-4.182077	-6.664650	-4.964832	-5.208813	-5.475598
12	-4.095938	-6.662872	-4.931756	-5.167577	-5.491109
13	-4.029242	-6.658046	-4.905474	-5.122099	-5.509934
14	-3.989888	-6.657073	-4.877633	-5.067833	-5.523476
15	-3.985828	-6.665744	-4.840910	-5.003227	-5.527792
16	-4.022484	-6.684453	-4.793409	-4.930932	-5.522302
17	-4.101806	-6.704888	-4.738381	-4.857350	-5.509478
18	-4.222560	-6.710466	-4.682357	-4.790908	-5.495527
19	-4.380906	-6.687436	-4.634451	-4.740505	-5.488395
20	-4.570457	-6.636429	-4.603970	-4.712729	-5.495089
21	-4.781788	-6.567393	-4.596745	-4.709633	-5.518659
22	-5.003130	-6.494394	-4.613278	-4.727238	-5.556100
23	-5.222747	-6.433566	-4.650411	-4.756386	-5.601626
24	-5.433010	-6.394068	-4.705228	-4.787745	-5.651828
25	-5.631158	-6.374895	-4.774298	-4.815880	-5.705055
26	-5.816834	-6.371643	-4.848723	-4.836673	-5.758332
27	-5.989428	-6.380552	-4.917922	-4.842954	-5.808585
28	-6.147468	-6.398563	-4.975947	-4.827683	-5.855805
29	-6.290137	-6.422076	-5.020837	-4.789619	-5.903253
30	-6.418043	-6.446465	-5.053104	-4.735748	-5.956219
31	-6.532639	-6.466625	-5.074983	-4.675821	-6.021770
32	-6.636675	-6.476407	-5.089965	-4.613097	-6.107760
33	-6.734086	-6.468930	-5.101589	-4.542357	-6.220193
34	-6.828079	-6.439670	-5.110600	-4.459031	-6.357142
35	-6.922255	-6.389534	-5.113638	-4.367093	-6.501795
36	-7.021801	-6.326263	-5.107838	-4.276728	-6.620636
37	-7.128519	-6.262832	-5.094997	-4.197959	-6.679651
38	-7.239185	-6.211069	-5.081061	-4.135911	-6.666092
39	-7.351351	-6.175472	-5.071995	-4.090310	-6.588836
40	-7.465596	-6.154533	-5.069637	-4.057318	-6.465488
41	-7.583566	-6.144418	-5.072271	-4.032086	-6.318519
42	-7.705565	-6.139801	-5.075531	-4.009967	-6.170797
43	-7.828243	-6.133883	-5.071628	-3.985761	-6.035528
44	-7.944590	-6.118551	-5.049740	-3.952651	-5.919853
45	-8.046934	-6.084568	-4.997187	-3.900942	-5.827744
46	-8.128765	-6.025643	-4.901004	-3.817630	-5.754004
47	-8.184947	-5.946471	-4.755711	-3.696390	-5.683313
48	-8.210992	-5.861943	-4.574715	-3.555300	-5.598554
49	-8.206609	-5.791022	-4.388240	-3.429674	-5.497727
50	-8.182865	-5.758563	-4.228591	-3.351546	-5.401168
51	-8.159927	-5.792554	-4.122725	-3.341144	-5.343199
52	-8.159427	-5.909394	-4.092782	-3.410224	-5.342600
53	-8.199230	-6.095093	-4.156425	-3.570567	-5.408294
