	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
82	-4.006367	-5.313647	-4.670166	-6.303653	-4.683684
83	-3.869076	-5.172892	-4.551215	-6.112814	-4.545173
84	-3.717638	-5.007534	-4.417977	-5.907435	-4.395528
85	-3.555168	-4.816838	-4.270752	-5.692479	-4.233273
86	-3.384149	-4.601417	-4.108868	-5.471863	-4.057471
87	-3.206618	-4.363081	-3.931185	-5.247636	-3.867391
88	-3.024274	-4.105431	-3.736960	-5.020860	-3.663048
89	-2.838960	-3.833940	-3.526435	-4.791728	-3.445945
90	-2.651599	-3.554889	-3.301501	-4.560526	-3.217933
91	-2.460584	-3.274004	-3.065116	-4.327741	-2.980199
92	-2.261825	-2.996159	-2.819892	-4.093354	-2.733287
93	-2.050745	-2.725383	-2.568249	-3.855958	-2.477477
94	-1.823900	-2.463423	-2.313084	-3.612120	-2.212917
95	-1.579980	-2.209284	-2.056678	-3.357162	-1.938896
96	-1.321439	-1.959523	-1.797615	-3.087682	-1.654189
97	-1.053516	-1.710007	-1.530028	-2.803993	-1.359538
98	-0.783032	-1.458610	-1.247872	-2.509392	-1.058895
99	-0.517245	-1.205362	-0.948098	-2.206658	-0.757282
100	-0.259749	-0.950722	-0.630206	-1.896136	-0.458199
101	-0.008735	-0.693147	-0.295870	-1.576000	-0.161604
