	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	-1.384006	-1.550979	-1.650835	-2.204978	-1.173923
2	-1.864421	-1.859687	-2.070141	-2.551595	-1.720132
3	-2.188272	-2.037411	-2.349333	-2.738805	-2.093724
4	-2.358655	-2.096834	-2.506561	-2.783905	-2.290308
5	-2.395123	-2.063054	-2.562336	-2.728303	-2.329026
6	-2.327064	-1.966684	-2.534024	-2.618838	-2.245380
7	-2.189655	-1.839064	-2.436499	-2.495406	-2.082042
8	-2.020626	-1.710252	-2.289395	-2.385874	-1.882045
9	-1.855413	-1.606797	-2.122374	-2.302212	-1.683855
10	-1.721592	-1.547740	-1.966952	-2.239437	-1.517151
11	-1.634024	-1.539877	-1.843701	-2.180892	-1.399983
12	-1.592629	-1.574723	-1.757853	-2.107908	-1.337265
13	-1.585092	-1.631793	-1.703266	-2.010321	-1.321510
14	-1.594666	-1.688792	-1.670008	-1.893636	-1.338283
15	-1.609381	-1.732001	-1.650384	-1.776173	-1.374007
16	-1.626392	-1.760349	-1.639896	-1.678251	-1.421149
17	-1.648858	-1.781077	-1.635392	-1.613117	-1.478944
18	-1.680247	-1.803098	-1.635020	-1.585515	-1.547870
19	-1.720621	-1.833759	-1.639485	-1.592196	-1.624178
20	-1.766312	-1.877567	-1.651930	-1.618742	-1.699682
21	-1.811527	-1.934577	-1.676844	-1.645205	-1.764315
22	-1.848386	-2.001468	-1.716134	-1.658712	-1.810556
23	-1.866165	-2.073441	-1.763801	-1.658653	-1.835409
24	-1.852899	-2.144490	-1.808685	-1.650634	-1.839021
25	-1.800855	-2.209501	-1.844318	-1.634985	-1.823448
26	-1.713642	-2.266593	-1.872956	-1.605665	-1.790213
27	-1.604684	-2.316904	-1.901419	-1.557763	-1.740101
28	-1.488187	-2.362877	-1.934995	-1.490689	-1.676909
29	-1.376031	-2.407355	-1.972912	-1.405871	-1.608466
30	-1.277666	-2.454345	-2.009950	-1.303707	-1.542405
31	-1.197277	-2.508319	-2.040015	-1.186810	-1.482925
32	-1.133028	-2.571828	-2.057848	-1.061866	-1.432545
33	-1.078220	-2.644721	-2.060370	-0.936962	-1.392492
34	-1.023587	-2.724932	-2.046934	-0.818625	-1.359637
35	-0.960705	-2.808770	-2.020109	-0.709528	-1.326152
36	-0.884749	-2.892347	-1.984412	-0.608634	-1.284538
37	-0.795249	-2.972769	-1.942206	-0.512600	-1.233766
38	-0.695633	-3.048097	-1.892373	-0.420808	-1.180475
39	-0.591822	-3.117960	-1.832929	-0.337822	-1.135114
40	-0.489767	-3.183572	-1.766682	-0.264082	-1.106360
41	-0.394695	-3.247221	-1.706659	-0.190315	-1.094139
42	-0.311930	-3.311375	-1.671384	-0.102468	-1.087195
43	-0.246960	-3.375410	-1.673294	0.012615	-1.072909
44	-0.203968	-3.435533	-1.714603	0.161360	-1.046877
45	-0.183670	-3.487773	-1.789166	0.333435	-1.012340
46	-0.179920	-3.528306	-1.883608	0.495268	-0.975030
47	-0.181417	-3.553881	-1.979454	0.611133	-0.942954
48	-0.181526	-3.563188	-2.058962	0.648069	-0.929584
49	-0.182951	-3.554851	-2.112067	0.602570	-0.952073
50	-0.190415	-3.525436	-2.138429	0.498231	-1.024261
51	-0.206027	-3.472419	-2.143688	0.375669	-1.142712
52	-0.236259	-3.400145	-2.137761	0.282744	-1.271887
53	-0.292062	-3.327168	-2.141427	0.265465	-1.365536
